id,name,full_name
2,pu,Проблемы управления
3,econvest,Экономический вестник
12,econvest,Экономический вестник ИПУ РАН
13,cs,Control Sciences
14,ubs,Управление большими системами
15,dccn,Distributed Computer and Communication Networks
16,assa,Advances in Systems Science and Applications
5,avtprom,Автоматизация в промышленности
6,ait,Автоматика и телемеханика
1,assa,Advances in Systems Science and Applications
17,test,Автоматика и телемеханика
18,test,Автоматика и телемеханика
19,test,Автоматика и телемеханика
20,test,Автоматика и телемеханика
21,test,Автоматика и телемеханика
31,test,Автоматика и телемеханика
32,test,Вісник Запорізького державного університету: Збірник наукових статей. Фізико-математичні науки. Біологічні науки
33,test,Неврологический журнал
34,test,International Journal of Bifurcation and Chaos
35,test,Computacion y Sistemas
36,test,Journal of Functional Analysis
37,test,Contemporary Mathematics
38,test,Проблемы управления
39,test,Управление большими системами
40,test,"Труды 6-й Международной конференции «Параллельные вычисления и задачи управления» (РАСО2012, Москва)"
41,test,"Труды 2-й Всероссийской научно-практической конференции «Проблемы экономики современных промышленных комплексов» (Самара, 2006)"
42,test,Лабораторная диагностика вирусных и бактериальных инфекций
43,test,Труды МАСИ
44,test,"Proceedings of the International conference on Logic, Game Theory and Social Choice (Caen, 2005)"
45,test,Стохастическая оптимизация в информатике
46,test,Экономико-правовое развитие современной России
47,test,"Приборы и системы. Управление, контроль, диагностика"
48,test,Труды Института проблем управления
49,test,Датчики и системы
50,test,Качество и ИПИ (CALS) технологии
51,test,Искусственный интеллект
52,test,Автоматика и телемеханика
53,test,Письма в журнал технической физики
54,test,Труды ГТУ
55,test,Мир оптики
56,test,"Труды 4-й Международной конференции «Параллельные вычисления и задачи управления» (PACO2008, Москва)"
57,test,Подводные исследования и робототехника
58,test,Автоматизация в промышленности
59,test,"Материалы XXXII Международной конференции «Информационные технологии в науке, образовании, телекоммуникации и бизнесе» (IT+S&E05, Гурзуф, 2005)"
60,test,Известия РАН. Теория и системы управления
61,test,Управление большими системами
62,test,Проблемы информационной экономики
63,test,Commun pur appl math
64,test,Авиационно-космическая техника и технология
65,test,Journal DAnalyse Mathematique
66,test,Геопрофи
67,test,Промышленные АСУ и контроллеры
68,test,"Труды 6-й Международной конференции «Системы проектирования технологической подготовки производства и управления этапами жизненного цикла промышленного продукта» (CAD/CAM/PDM-2006, Москва)"
69,test,"Сборник докладов VII Международной научной конференции «Проблемы регионального и муниципального управления»  (Москва, 2005)"
70,test,Journal of Magnetism and Magnetic Materials
71,test,"Сборник статей II Всероссийской научно-практической конференции «Математические модели современных экономических процессов, методы анализа и синтеза экономических механизмов» (Самара, 2006)"
72,test,Информационные технологии и математические методы в образовательной деятельности
73,test,Прикладна геометрія та інженерна графіка
74,test,Вісник Київського національного університету технологій та дизайну
75,test,Инновации и экономическое развитие
76,test,"Тезисы 6-й Международной конференции «Системы проектирования технологической подготовки производства и управления этапами жизненного цикла промышленного продукта» (CAD/CAM/PDM-2006, Москва)"
77,test,Тезисы докладов Международной конференции «Актуальные проблемы прикладной математики и механики» (АППММ06)
365,test,SIAM Journal on Optimization
78,test,Journal of Mathematical Sciences
79,test,Труды ИПУ
80,test,Математическое моделирование
81,test,Вычислительные технологии
82,test,Annual Reviews in Control
83,test,"Труды 4-й Международной конференции по проблемам управления (МКПУ-2009, Москва)"
84,test,Программное и информационное обеспечение систем различного назначения на базе персональных ЭВМ
85,test,Народное образование
86,test,Нефть и капитал
87,test,EOLSS. Encyclopedia of Information Science and Technology
88,test,"Proceedings of the 16th IFAC World Congress (Prague, 2005)"
89,test,Lobachevskii Journal of Mathematics
90,test,Психология
91,test,"Тезисы докладов 3-й Международной конференции по проблемам управления (МКПУ 2006, Москва)"
92,test,Прикладная физика
93,test,"Тезисы докладов 1-й Международной конференции «Управление развитием крупномасштабных систем» (MLSD-2007, Москва)"
94,test,Вестник Северо-Кавказского государственного технического университета
95,test,"Proceedings of the DOM Thematic Seminar Innovations and changes management (Belgrad, 2006)"
96,test,"Proceeding of the 12th International Power Electronics & Motion Control Conference (EPE - PEMC 2006, Portoroz, Slovenia)"
97,test,Electronic Journal of Probability
98,test,Вестник Магнитогорского государственного технического университета им. Г.И. Носова
99,test,"Труды 48-й научной конференции МФТИ «Современные проблемы фундаментальных и прикладных наук» (Долгопрудный, 2005)"
100,test,"Труды 3-й Международной конференции Параллельные вычисления и зада-чи управления (PACO2006, Москва)"
101,test,Physics Letters A
102,test,Statistics and Decisions
103,test,Муниципальный мир
104,test,Альманах клинической медицины
105,test,Mathematics and Democracy
106,test,Applied Computational Mathematics
107,test,Linear Algebra and its Applications
108,test,Почтовая связь. Техника и технологии
109,test,Fuzzy Sets and Systems
110,test,Труды ИСА РАН
111,test,"Труды международной конференции «Методы дискретных особенностей в задачах математической физики» (Херсон, 2005)"
112,test,Проблемы безопасности и чрезвычайных ситуаций
113,test,Экономический журнал Высшей школы экономики
114,test,Авиакосмическое приборостроение
115,test,"Материалы Международной конференции по спинтронике (Москва, 2006)"
116,test,"Труды 6-й Международной конференции «Параллельные вычисления и задачи управления» (РАСО2012, Москва)"
117,test,"Мехатроника, автоматизация, управление"
118,test,Chaos Solitons & Fractals
119,test,"Актуальные проблемы авиационных и аэрокосмических систем: процессы, модели, эксперимент"
120,test,Моделирование в социально-политической сфере
121,test,Общероссийский научно-технический журнал «Полет»
122,test,Специалист
123,test,Journal of the Bauman Moscow State Technical University
124,test,"Приборы и системы. Управление, контроль, диагностика"
125,test,Applied Stochastic Models in Business and Industry
126,test,Доклады Академии наук
127,test,Прикладная математика и механика
128,test,Электронные компоненты
129,test,"Труды 9-го Всероссийского съезда по теоретической и прикладной механике (Нижний Новгород, 2006)"
130,test,Вопросы культурологии
131,test,"Труды III Международной конференции по проблемам управления (Москва, 2006)"
132,test,Теоретические вопросы вычислительной техники и программного обеспечения
133,test,Известия МАН ВШ
134,test,Системы управления и информационные технологии
135,test,Проблемы теории и практики управления
136,test,"Труды 50-й научной конференции МФТИ «Современные проблемы фундаментальных и прикладных наук» (Долгопрудный, 2007)"
137,test,Проблемы управления
138,test,Корпоративные системы
139,test,"Proceedings of the IMACS Multiconference on Computational Engineering in Systems Applications (CESA 2006, Beijing, China)"
140,test,Функциональный анализ и его приложения
141,test,Информационные технологии
142,test,Вестник НАУФОР
143,test,"Proceedings of the 11th European Conference on the Mathematics of Oil Recovery (ECMOR-2008, Bergen)"
306,test,Биотехнология
144,test,Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия: Машиностроение
145,test,"Труды Международной научно-технической конференции «Системные проблемы надежности, информационно-телекоммуникационных и электронных технологий в управлении инновационными проектами» (Сочи, 2007)"
146,test,Доклады Всероссийской конференции «Знания-Онтологии-Теория» с международным участием
147,test,Научные труды молодых ученых и специалистов. Чувашский госуниверсит. Чебоксары.
148,test,Дифференциальные уравнения
149,test,"Proceedings of the 45th IEEE Conference on Decision and Control (CDC) (San Diego, CA, USA, 2006)"
150,test,Вестник МГТУ. Труды Мурманского государственного технического университета
151,test,Automatica
152,test,"Proceedings of the IASTED International Conference on Automation, Control and Information Technology. Control, Diagnostics, and Automation (ACIT-CDA 2010, Novosibirsk)"
153,test,Мир и безопасность
154,test,IFAC Symposium on Automated Systems Based on Human Skills and Knowledge
155,test,"Труды 10-й Международной научной конференции «Системный анализ, управление и навигация» (Евпатория, Украина, 2005)"
156,test,"Труды XIII Международной конференции «Проблемы управления безопасностью сложных систем» (Москва, 2005)"
157,test,ЭКОРЕАЛ
158,test,Надежность
159,test,Historic Control Textbooks
160,test,Forever Ljung in System Identification
161,test,"Материалы IV Всероссийской школы-семинара молодых ученых «Проблемы управления и информационные технологии» (ПУИТ ‘08, Казань)"
162,test,Вестник МГТУ им. Н.Э.Баумана
163,test,"Тезисы докладов Международного семинара «Теория управления и теория обобщенных решений уравнений Гамильтона-Якоби» (Екатеринбург, 2005)"
164,test,Российский педиатрический журнал
165,test,Труды 8-й Международной научной школы «Моделирование и Анализ Безопасности и Риска в Сложных Системах» (МА БР 2008)
166,test,"Труды 5-й Международной научной школы «Моделирование и Анализ Безопасности и Риска в Сложных Системах» (Санкт-Петербург, 2005)"
167,test,Обозрение прикладной и промышленной математики (в списке ВАК до 2011 года)
168,test,"Труды Международной научно-технической конференции «Современные информационные технологии» (Пенза, 2005)"
169,test,"Труды III Международной конференции «Параллельные вычисления и задачи управления» (РАСО2006, Москва)"
170,test,Сборник научных трудов МГПУ
171,test,"Материалы конференции «Теория, методы и средства измерений, контроля и диагностики» (Новочеркасск, 2006)"
172,test,Политический маркетинг
173,test,Вестник Самарского государственного технического университета. Серия «Технические науки»
